,State,County,Year,Deaths,Population,Treatment,death_prop
589,Florida,Union,2006,9.0,14274.0,Treatment,0.0006305170239596469
590,Florida,Wakulla,2006,8.0,29158.0,Treatment,0.0002743672405514782
591,Florida,Washington,2006,9.0,22371.0,Treatment,0.0004023065575968888
592,Florida,Baker,2007,0.0,25605.0,Treatment,0.0
593,Florida,Bradford,2007,3.0,28997.0,Treatment,0.00010345897851501879
594,Florida,Calhoun,2007,8.0,13515.0,Treatment,0.0005919348871624121
595,Florida,Columbia,2007,0.0,67927.0,Treatment,0.0
596,Florida,DeSoto,2007,5.0,35096.0,Treatment,0.0001424663779348074
597,Florida,Dixie,2007,2.0,14871.0,Treatment,0.00013448994687647098
598,Florida,Flagler,2007,6.0,88088.0,Treatment,6.811370447734085e-05
599,Florida,Franklin,2007,2.0,11272.0,Treatment,0.000177430801987225
600,Florida,Gadsden,2007,4.0,46728.0,Treatment,8.560178051703475e-05
601,Florida,Gilchrist,2007,7.0,16918.0,Treatment,0.0004137604917838988
602,Florida,Glades,2007,3.0,10967.0,Treatment,0.0002735479164767028
603,Florida,Gulf,2007,2.0,15763.0,Treatment,0.00012687940112922667
604,Florida,Hamilton,2007,2.0,14251.0,Treatment,0.00014034102869974038
605,Florida,Hardee,2007,4.0,28832.0,Treatment,0.00013873473917869035
606,Florida,Hendry,2007,2.0,39399.0,Treatment,5.076270971344451e-05
607,Florida,Highlands,2007,9.0,98512.0,Treatment,9.135942829299984e-05
608,Florida,Holmes,2007,0.0,19119.0,Treatment,0.0
609,Florida,Jackson,2007,4.0,48955.0,Treatment,8.170769073639057e-05
610,Florida,Jefferson,2007,2.0,13854.0,Treatment,0.00014436263894903998
611,Florida,Lafayette,2007,7.0,8023.0,Treatment,0.0008724915866882712
612,Florida,Levy,2007,5.0,38830.0,Treatment,0.0001287664177182591
613,Florida,Liberty,2007,5.0,7798.0,Treatment,0.0006411900487304436
614,Florida,Madison,2007,9.0,18977.0,Treatment,0.00047425831269431415
